,temp_zone_0,phvac_0,temp_outdoor,solar,occ_0,Supply_airflow,Cooling_sp,Heating_sp,Cooling Coil BTU,VAV 13 BTU,temp_sup,CC_Valve,HC_Valve,PHC_Valve,MAT,PHC_DAT,HC_DAT,Heating Coil BTU,Preheating Coil BTU,temp_sup_spt,CO2Sensor,OA_Airflow,OA_DamperSignal,CO2Setpoint,Time,day_sin,day_cos
2023-08-31 16:30:00,75.12165324,-2260.378415,71.28666667,468.9333333,4,519.9539665,80.0,65.0,6.118420124,0.034271356,61.57209524,46.50784683,0.0,0.0,71.94244893,70.68595378,72.10508728,13.90072187,10473.37663,60.0,467.7272727,-355.5893098,61.0,1000.0,2023-08-31 16:30:00,-0.9238795325112865,-0.38268343236509034
2023-08-31 16:45:00,75.12838745,-2254.115671,70.80666667,440.0,4,518.8677745,80.0,65.0,6.248149077,0.034688028,61.58920161,45.33428955,0.0,0.0,72.08306885,70.69186656,72.20083872,13.93146547,10473.18359,60.0,471.5757576,-355.5893098,61.0,1000.0,2023-08-31 16:45:00,-0.9469301294951056,-0.3214394653031618
2023-08-31 17:00:00,75.11837769,-2249.254422,70.32,400.2,4,517.7330521,80.0,65.0,6.442584991,0.034271357,61.57309723,44.25777944,0.0,0.0,72.14999644,70.55494944,72.29066976,13.90137831,10473.47819,60.0,470.2424242,-355.5893098,61.0,1000.0,2023-08-31 17:00:00,-0.9659258262890681,-0.2588190451025215
2023-08-31 17:15:00,75.10494995,-2204.390467,69.66666667,353.0666667,4,519.1110846,80.0,65.0,5.655338287,0.033854683,61.86482366,45.3400205,0.0,0.0,71.99919383,70.3749644,72.18727875,13.9446888,10473.47363,60.0,466.4242424,-355.5893098,61.0,1000.0,2023-08-31 17:15:00,-0.9807852804032303,-0.19509032201612866
2023-08-31 17:30:00,75.07467651,-2197.378296,69.38,306.1333333,4,520.1945562,80.0,65.0,6.074216525,0.034063019,61.91494497,48.92990875,0.0,0.0,71.8221817,70.07932281,72.05256399,13.93954945,10473.13997,60.0,461.1818182,-355.5893098,61.0,1000.0,2023-08-31 17:30:00,-0.9914448613738103,-0.1305261922200525
2023-08-31 17:45:00,75.08141073,-2270.136666,68.64,260.0,3,519.4269614,80.0,65.0,6.11267964,0.03406302,61.45483526,44.91033808,0.0,0.0,71.60289256,69.80911509,71.84589132,13.95755831,10472.8457,60.0,460.8787879,-355.5893098,61.0,1000.0,2023-08-31 17:45:00,-0.9978589232386035,-0.06540312923014362
2023-08-31 18:00:00,75.0613505,-2285.478517,68.42666667,212.7333333,3,517.6015328,80.0,65.0,5.781603813,0.034375525,61.30885824,38.82332357,0.0,0.0,71.55040995,69.76860046,71.75528463,13.90763187,10473.05208,60.0,455.6363636,-355.5893098,61.0,1000.0,2023-08-31 18:00:00,-1.0,-1.8369701987210297e-16
2023-08-31 18:15:00,75.03119914,-2208.622503,67.87333333,163.2666667,0,517.8339341,80.0,65.0,5.333142598,0.034167189,61.72379049,39.17755636,0.0,0.0,71.31006368,69.29178111,71.52924601,13.94666862,10473.02116,60.0,434.8484848,-355.5893098,61.0,1000.0,2023-08-31 18:15:00,-0.9978589232386036,0.06540312923014237
2023-08-31 18:30:00,75.02776082,-2204.475369,67.09333333,121.1333333,0,519.0936171,80.0,65.0,5.655708313,0.03406302,61.78732173,41.28871028,0.0,0.0,71.14848582,68.97380575,71.37607066,13.95076783,10473.23861,60.0,421.9090909,-355.5893098,61.0,1000.0,2023-08-31 18:30:00,-0.9914448613738105,0.13052619222005127
2023-08-31 18:45:00,75.00420125,-2246.331836,66.45333333,74.53333333,0,515.8852341,80.0,65.0,5.464691321,0.034271357,61.44521968,37.10528946,0.0,0.0,70.9184494,68.53367615,71.15187327,13.89795971,10473.60677,60.0,414.1818182,-355.5893098,61.0,1000.0,2023-08-31 18:45:00,-0.9807852804032307,0.19509032201612742
