,Date/Time,temp_outdoor,solar,occ_0,heating,cooling,temp_zone_0,ATTIC_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),ATTIC_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),ATTIC_UNIT1:Zone Air Temperature [C](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Heating Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air System Sensible Cooling Rate [W](TimeStep),CRAWLSPACE_UNIT1:Zone Air Temperature [C](TimeStep) ,Time,day_sin,day_cos,Cphvac_0,Hphvac_0,phvac_0
2023-07-31 16:00:00, 07/31  16:15:00,64.85,310.5,0.8849400000000001,0.0,2538.658839079483,77.80943373932331,0.0,0.0,39.76260623668116,0.0,0.0,20.538306250751244,2023-07-31 16:00:00,-0.8660254037844384,-0.5000000000000004,-2538.658839079483,0.0,-2538.658839079483
2023-07-31 16:15:00, 07/31  16:30:00,65.3,296.0,0.8849400000000001,0.0,2534.944118641915,77.77625679868926,0.0,0.0,33.34084673570986,0.0,0.0,20.335636179359177,2023-07-31 16:15:00,-0.8968727415326883,-0.4422886902190013,-2534.944118641915,0.0,-2534.944118641915
2023-07-31 16:30:00, 07/31  16:45:00,65.75,250.5,0.8849400000000001,0.0,2526.364643612053,77.69990234188215,0.0,0.0,28.42788630621024,0.0,0.0,20.0298260054516,2023-07-31 16:30:00,-0.9238795325112864,-0.3826834323650903,-2526.364643612053,0.0,-2526.364643612053
2023-07-31 16:45:00, 07/31  17:00:00,66.2,205.0,0.8849400000000001,0.0,2512.729159371244,77.57936790719597,0.0,0.0,25.86326808238389,0.0,0.0,19.78785254705254,2023-07-31 16:45:00,-0.9469301294951056,-0.3214394653031618,-2512.729159371244,0.0,-2512.729159371244
2023-07-31 17:00:00, 07/31  17:15:00,66.2,159.5,1.6593,0.0,2507.327714040524,77.5307319829276,0.0,0.0,24.00494504094375,0.0,0.0,19.55443646749801,2023-07-31 17:00:00,-0.965925826289068,-0.2588190451025215,-2507.327714040524,0.0,-2507.327714040524
2023-07-31 17:15:00, 07/31  17:30:00,66.2,114.0,1.6593,0.0,2493.1282892947293,77.4044992416659,0.0,0.0,22.67961828954908,0.0,0.0,19.36533525033757,2023-07-31 17:15:00,-0.9807852804032304,-0.1950903220161286,-2493.1282892947293,0.0,-2493.1282892947293
2023-07-31 17:30:00, 07/31  17:45:00,66.2,93.25,1.6593,0.0,2475.2639423478545,77.24607241726609,0.0,0.0,21.729514013536424,0.0,0.0,19.217170659948977,2023-07-31 17:30:00,-0.9914448613738104,-0.1305261922200525,-2475.2639423478545,0.0,-2475.2639423478545
2023-07-31 17:45:00, 07/31  18:00:00,66.2,72.5,1.6593,0.0,2460.4493305083115,77.11488193250912,0.0,0.0,21.37191001168889,0.0,0.0,19.119632807988243,2023-07-31 17:45:00,-0.9978589232386036,-0.0654031292301436,-2460.4493305083115,0.0,-2460.4493305083115
2023-07-31 18:00:00, 07/31  18:15:00,66.2,51.75,2.69079,0.0,2442.27891520022,76.95376928905368,0.0,0.0,21.33746579066472,0.0,0.0,19.01102330153213,2023-07-31 18:00:00,-1.0,-1.8369701987210294e-16,-2442.27891520022,0.0,-2442.27891520022
2023-07-31 18:15:00, 07/31  18:30:00,66.2,31.0,2.69079,0.0,2414.849158054603,76.7106393434909,0.0,0.0,21.328165771967555,0.0,0.0,18.93686421508883,2023-07-31 18:15:00,-0.9978589232386036,0.0654031292301423,-2414.849158054603,0.0,-2414.849158054603
2023-07-31 18:30:00, 07/31  18:45:00,66.2,23.25,2.69079,0.0,2385.364317602695,76.44884931886781,0.0,0.0,21.08944228006444,0.0,0.0,18.90596302568009,2023-07-31 18:30:00,-0.9914448613738104,0.1305261922200512,-2385.364317602695,0.0,-2385.364317602695
2023-07-31 18:45:00, 07/31  19:00:00,66.2,15.5,2.69079,0.0,2362.71008103158,76.24772861957564,0.0,0.0,20.69806975881132,0.0,0.0,18.903155107444903,2023-07-31 18:45:00,-0.9807852804032308,0.1950903220161274,-2362.71008103158,0.0,-2362.71008103158
2023-07-31 19:00:00, 07/31  19:15:00,65.75,0.0,2.69079,0.0,2322.641294736892,75.89389234498387,0.0,0.0,20.122925147038178,0.0,0.0,18.879805026158856,2023-07-31 19:00:00,-0.9659258262890684,0.2588190451025203,-2322.641294736892,0.0,-2322.641294736892
2023-07-31 19:15:00, 07/31  19:30:00,65.3,0.0,2.69079,0.0,2288.631706431099,75.59353154069287,0.0,0.0,19.596815713725064,0.0,0.0,18.856889206808567,2023-07-31 19:15:00,-0.9469301294951056,0.3214394653031615,-2288.631706431099,0.0,-2288.631706431099
2023-07-31 19:30:00, 07/31  19:45:00,64.85,0.0,2.69079,0.0,2255.115643321775,75.29803919853777,0.0,0.0,19.15602440852226,0.0,0.0,18.82578330165808,2023-07-31 19:30:00,-0.923879532511287,0.3826834323650891,-2255.115643321775,0.0,-2255.115643321775
